captured_at,captured_date,weekday,hour,appid,name,current_players
2026-04-08T18:14:21,2026-04-08,Quarta,18,730,Counter-Strike 2,999132
2026-04-08T18:14:21,2026-04-08,Quarta,18,570,Dota 2,392695
2026-04-08T18:14:21,2026-04-08,Quarta,18,578080,PUBG: BATTLEGROUNDS,186693
2026-04-08T18:14:21,2026-04-08,Quarta,18,3419430,Bongo Cat,99573
2026-04-08T18:14:21,2026-04-08,Quarta,18,2622380,ELDEN RING NIGHTREIGN,11013
2026-04-08T18:14:21,2026-04-08,Quarta,18,252490,Rust,102183
2026-04-08T18:14:21,2026-04-08,Quarta,18,1172470,Apex Legends™,77046
2026-04-08T18:14:21,2026-04-08,Quarta,18,2767030,Marvel Rivals,70002
2026-04-08T18:14:21,2026-04-08,Quarta,18,431960,Wallpaper Engine,49146
2026-04-08T18:14:21,2026-04-08,Quarta,18,1671210,DELTARUNE,1090
2026-04-08T18:14:21,2026-04-08,Quarta,18,271590,Grand Theft Auto V Legacy,64527
2026-04-08T18:14:21,2026-04-08,Quarta,18,1938090,Call of Duty®,34922
2026-04-08T18:14:21,2026-04-08,Quarta,18,1203220,NARAKA: BLADEPOINT,7385
2026-04-08T18:14:21,2026-04-08,Quarta,18,1086940,Baldur's Gate 3,45147
2026-04-08T18:14:21,2026-04-08,Quarta,18,553850,HELLDIVERS™ 2,35252
2026-04-08T18:14:21,2026-04-08,Quarta,18,359550,Tom Clancy's Rainbow Six® Siege X,77366
2026-04-08T18:14:21,2026-04-08,Quarta,18,413150,Stardew Valley,48476
2026-04-08T18:14:21,2026-04-08,Quarta,18,236390,War Thunder,59646
2026-04-08T18:14:21,2026-04-08,Quarta,18,2252570,Football Manager 2024,16307
2026-04-08T18:14:21,2026-04-08,Quarta,18,381210,Dead by Daylight,56205
2026-04-08T18:35:44,2026-04-08,Quarta,18,730,Counter-Strike 2,968711
2026-04-08T18:35:44,2026-04-08,Quarta,18,570,Dota 2,373132
2026-04-08T18:35:44,2026-04-08,Quarta,18,578080,PUBG: BATTLEGROUNDS,172526
2026-04-08T18:35:44,2026-04-08,Quarta,18,3419430,Bongo Cat,97747
2026-04-08T18:35:44,2026-04-08,Quarta,18,2622380,ELDEN RING NIGHTREIGN,10714
2026-04-08T18:35:44,2026-04-08,Quarta,18,252490,Rust,97413
2026-04-08T18:35:44,2026-04-08,Quarta,18,1172470,Apex Legends™,74713
2026-04-08T18:35:44,2026-04-08,Quarta,18,2767030,Marvel Rivals,70508
2026-04-08T18:35:44,2026-04-08,Quarta,18,431960,Wallpaper Engine,47359
2026-04-08T18:35:44,2026-04-08,Quarta,18,1671210,DELTARUNE,1106
2026-04-08T18:35:44,2026-04-08,Quarta,18,271590,Grand Theft Auto V Legacy,60652
2026-04-08T18:35:44,2026-04-08,Quarta,18,1938090,Call of Duty®,34570
2026-04-08T18:35:44,2026-04-08,Quarta,18,1203220,NARAKA: BLADEPOINT,6812
2026-04-08T18:35:44,2026-04-08,Quarta,18,1086940,Baldur's Gate 3,43010
2026-04-08T18:35:44,2026-04-08,Quarta,18,553850,HELLDIVERS™ 2,33702
2026-04-08T18:35:44,2026-04-08,Quarta,18,359550,Tom Clancy's Rainbow Six® Siege X,77686
2026-04-08T18:35:44,2026-04-08,Quarta,18,413150,Stardew Valley,46932
2026-04-08T18:35:44,2026-04-08,Quarta,18,236390,War Thunder,56236
2026-04-08T18:35:44,2026-04-08,Quarta,18,2252570,Football Manager 2024,15543
2026-04-08T18:35:44,2026-04-08,Quarta,18,381210,Dead by Daylight,54411
2026-04-08T18:35:54,2026-04-08,Quarta,18,730,Counter-Strike 2,968711
2026-04-08T18:35:54,2026-04-08,Quarta,18,570,Dota 2,373132
2026-04-08T18:35:54,2026-04-08,Quarta,18,578080,PUBG: BATTLEGROUNDS,172526
2026-04-08T18:35:54,2026-04-08,Quarta,18,3419430,Bongo Cat,97747
2026-04-08T18:35:54,2026-04-08,Quarta,18,2622380,ELDEN RING NIGHTREIGN,10714
2026-04-08T18:35:54,2026-04-08,Quarta,18,252490,Rust,97413
2026-04-08T18:35:54,2026-04-08,Quarta,18,1172470,Apex Legends™,74713
2026-04-08T18:35:54,2026-04-08,Quarta,18,2767030,Marvel Rivals,70508
2026-04-08T18:35:54,2026-04-08,Quarta,18,431960,Wallpaper Engine,47359
2026-04-08T18:35:54,2026-04-08,Quarta,18,1671210,DELTARUNE,1106
2026-04-08T18:35:54,2026-04-08,Quarta,18,271590,Grand Theft Auto V Legacy,60652
2026-04-08T18:35:54,2026-04-08,Quarta,18,1938090,Call of Duty®,34570
2026-04-08T18:35:54,2026-04-08,Quarta,18,1203220,NARAKA: BLADEPOINT,6812
2026-04-08T18:35:54,2026-04-08,Quarta,18,1086940,Baldur's Gate 3,43010
2026-04-08T18:35:54,2026-04-08,Quarta,18,553850,HELLDIVERS™ 2,33702
2026-04-08T18:35:54,2026-04-08,Quarta,18,359550,Tom Clancy's Rainbow Six® Siege X,77686
2026-04-08T18:35:54,2026-04-08,Quarta,18,413150,Stardew Valley,46932
